[2020-12-09 09:40:01] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-09 09:40:48] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-09 09:40:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-09 09:40:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-09 09:40:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-09 09:40:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-09 09:40:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-09 09:52:56] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-09 09:52:56] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-09 09:52:56] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-09 09:52:56] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-09 09:52:56] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-09 09:52:56] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-09 10:44:48] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-09 10:44:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-09 10:44:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-09 10:44:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-09 10:44:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-09 10:44:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-13 11:35:19] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-13 11:35:19] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-13 11:35:19] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-13 11:35:19] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-15 08:04:25] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-15 08:04:25] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-15 08:04:25] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-15 08:04:25] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-15 08:35:25] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-15 08:35:25] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-15 08:35:25] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-15 08:35:25] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-15 09:30:36] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-15 09:30:36] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-15 09:30:36] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-15 09:30:36] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-15 18:08:29] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-15 18:08:29] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-15 18:08:29] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-15 18:08:29] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
